Rk,Player,Pos,Age,Tm,G,MP ▾,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
98,Corey Brewer,SF,28,TOT,76,1988,13.7,.503,.298,.271,4.3,11.7,7.9,13.9,2.8,0.7,12.8,21.5,,0.8,2.0,2.8,.067,,-0.9,-0.2,-1.1,0.4
99,Kenneth Faried,PF,25,DEN,72,1988,18.1,.544,.010,.386,11.7,23.2,17.2,7.1,1.4,2.2,11.7,20.1,,3.2,2.1,5.3,.129,,-0.4,1.0,0.5,1.3
100,Marcus Morris,PF,25,PHO,79,1987,13.9,.526,.413,.153,3.8,16.6,10.2,10.2,1.6,0.6,8.3,18.9,,2.3,1.8,4.1,.100,,0.4,-0.5,-0.1,1.0
101,Deron Williams,PG,30,BRK,64,1981,16.2,.516,.308,.320,1.4,10.6,6.0,33.8,1.6,0.6,14.9,22.4,,2.6,1.1,3.7,.091,,1.7,-1.5,0.2,1.1
102,Mo Williams,PG,32,TOT,67,1973,15.4,.512,.404,.218,1.2,8.9,4.9,36.9,1.2,0.6,15.4,25.2,,1.6,0.6,2.2,.054,,2.1,-3.4,-1.2,0.4
103,Brook Lopez,C,26,BRK,68,1970,22.7,.558,.011,.270,11.4,17.1,14.3,4.7,0.9,4.9,8.8,26.7,,4.4,2.0,6.3,.154,,0.4,-0.5,-0.1,0.9
104,Timofey Mozgov,C,28,TOT,77,1968,16.6,.600,.011,.392,10.8,21.3,16.0,4.3,0.9,3.8,14.8,16.3,,3.5,2.2,5.7,.140,,-1.1,1.0,-0.1,1.0
105,Amir Johnson,PF,27,TOR,73,1942,15.3,.603,.090,.253,9.2,17.1,13.1,9.3,1.1,2.3,16.1,15.7,,3.4,1.5,4.9,.122,,0.9,0.9,1.8,1.8
106,Marvin Williams,PF,28,CHO,74,1938,11.7,.542,.537,.176,3.2,18.1,10.4,7.4,1.8,1.4,10.1,13.3,,1.4,2.9,4.3,.105,,-0.8,1.8,1.0,1.5
107,Rajon Rondo,PG,28,TOT,65,1933,13.3,.441,.130,.113,4.0,16.5,10.2,39.4,2.3,0.3,23.5,19.6,,-0.8,2.1,1.3,.032,,-1.7,1.0,-0.7,0.7
108,Louis Williams,SG,28,TOR,77,1928,19.9,.565,.486,.427,1.4,7.1,4.2,13.6,2.3,0.4,8.4,26.8,,5.2,1.1,6.3,.157,,4.1,-3.1,1.0,1.5
109,Kawhi Leonard,SF,23,SAS,61,1921,22.3,.569,.241,.309,4.9,20.4,12.8,13.3,3.8,1.8,9.6,23.2,,4.1,4.2,8.3,.208,,2.8,3.5,6.3,4.0
110,Luc Mbah a Moute,PF,28,PHI,67,1916,10.6,.466,.318,.256,4.4,14.6,9.3,9.8,2.1,0.9,12.3,18.4,,-0.9,2.0,1.1,.027,,-3.3,0.1,-3.2,-0.6
111,Jeremy Lin,PG,26,LAL,74,1907,15.7,.539,.269,.410,1.5,10.2,5.7,28.7,2.2,1.4,17.7,21.9,,1.8,0.9,2.7,.069,,0.6,-1.3,-0.7,0.6
112,Dwyane Wade,SG,33,MIA,60,1904,21.3,.534,.094,.335,3.4,9.7,6.6,32.3,2.0,0.8,14.5,34.6,,2.0,1.3,3.3,.083,,2.3,-1.3,1.0,1.4
113,Boris Diaw,PF,32,SAS,78,1900,12.7,.526,.278,.148,4.5,15.2,9.9,17.9,1.0,0.9,15.7,18.1,,1.3,2.3,3.6,.090,,-0.5,0.8,0.2,1.1
114,Eric Gordon,SG,26,NOP,57,1889,12.6,.543,.453,.194,1.5,7.4,4.5,18.0,1.3,0.5,14.5,19.6,,1.9,0.7,2.6,.065,,1.3,-2.0,-0.7,0.6
115,D.J. Augustin,PG,27,TOT,78,1886,14.3,.532,.378,.322,1.1,8.1,4.6,28.6,1.3,0.1,16.5,20.0,,2.5,0.9,3.5,.088,,0.4,-2.7,-2.2,-0.1
116,Greivis Vasquez,PG,28,TOR,78,1883,12.5,.512,.484,.091,1.4,11.0,6.2,23.9,1.2,0.4,13.9,20.1,,1.6,0.8,2.4,.062,,0.9,-2.2,-1.3,0.4
117,Omer Asik,C,28,NOP,72,1880,15.4,.548,.000,.545,13.9,28.8,21.4,5.4,0.8,2.1,16.2,13.9,,2.6,2.1,4.7,.119,,-1.4,0.6,-0.8,0.6
118,Jason Thompson,PF,28,SAC,77,1874,10.0,.500,.003,.330,8.3,21.2,15.0,6.1,0.8,2.2,14.3,12.5,,0.9,1.3,2.2,.057,,-2.6,0.7,-1.8,0.1
119,Tony Parker,PG,32,SAS,65,1864,16.1,.541,.110,.206,0.9,6.6,3.8,29.0,1.2,0.1,14.0,24.7,,2.3,1.6,4.0,.102,,0.3,-2.2,-1.9,0.1
120,Robert Covington,SF,24,PHI,67,1856,14.5,.553,.594,.266,3.4,14.7,8.8,9.6,2.5,1.1,12.7,21.4,,1.5,2.2,3.8,.097,,0.6,-0.5,0.0,1.0
121,Channing Frye,PF,31,ORL,73,1849,9.5,.547,.712,.073,1.6,16.4,8.9,7.4,1.3,1.7,13.5,14.0,,0.6,1.3,2.0,.051,,-0.8,0.0,-0.8,0.6
